"","name","age","mw","league","year","points","ranking","logmw"
"358","Wolfsburg",25,3.54,"1. Bundesliga",2013,43,12,1.26412672714568
"359","Leverkusen",22.8,3.62,"1. Bundesliga",2013,65,3,1.28647402583768
"360","Hamburg",24.4,3.95,"1. Bundesliga",2013,48,7,1.37371557891303
"361","Stuttgart",24.6,3.19,"1. Bundesliga",2013,43,11,1.16002091679675
"362","Hannover",24.9,2.75,"1. Bundesliga",2013,45,9,1.01160091167848
"363","Hoffenheim",22.8,2.02,"1. Bundesliga",2013,31,16,0.703097511413113
"364","M'gladbach",23.7,3,"1. Bundesliga",2013,47,8,1.09861228866811
"365","Werder Bremen",22.5,2.48,"1. Bundesliga",2013,34,14,0.908258560176891
"366","Ein Frankfurt",24.4,1.65,"1. Bundesliga",2013,51,5,0.500775287912489
"367","Mainz",25.5,1.64,"1. Bundesliga",2013,42,13,0.494696241836107
"368","Augsburg",25.4,1.52,"1. Bundesliga",2013,33,15,0.418710334858185
"369","Freiburg",23.1,1.47,"1. Bundesliga",2013,51,6,0.385262400790645
"370","Nurnberg",23.4,1.42,"1. Bundesliga",2013,44,10,0.350656871613169
"371","Greuther Furth",23.8,0.921,"1. Bundesliga",2013,21,18,-0.0822952427268302
"372","Fortuna Dusseldorf",24.9,0.934,"1. Bundesliga",2013,30,17,-0.0682788407532944
"373","Paris SG",26.2,10.09,"Ligue 1",2013,83,1,2.31154483436552
"374","Lyon",23.8,3.71,"Ligue 1",2013,67,3,1.31103187661934
"375","Marseille",24.1,4.08,"Ligue 1",2013,71,2,1.40609698841607
"376","Lille",25.5,3.9,"Ligue 1",2013,62,6,1.3609765531356
"377","Rennes",23.3,3.08,"Ligue 1",2013,46,13,1.12492959698548
"378","Montpellier",24.9,2.61,"Ligue 1",2013,52,9,0.959350221334602
"379","St Etienne",24.2,2.76,"Ligue 1",2013,63,5,1.01523067972906
"380","Bordeaux",25.1,2.63,"Ligue 1",2013,55,7,0.966983846189673
"381","Toulouse",23.1,2.63,"Ligue 1",2013,51,10,0.966983846189673
"382","Lorient",24.9,1.69,"Ligue 1",2013,53,8,0.524728528934982
"383","Valenciennes",24.8,1.55,"Ligue 1",2013,48,11,0.438254930931155
"384","Sochaux",23.6,1.46,"Ligue 1",2013,41,16,0.378436435720245
"385","Nice",22.7,1.17,"Ligue 1",2013,64,4,0.157003748809665
"386","Evian Thonon Gaillard",26.1,1.24,"Ligue 1",2013,40,17,0.215111379616945
"387","Ajaccio",26.3,1.25,"Ligue 1",2013,42,15,0.22314355131421
"388","Brest",24.7,1.08,"Ligue 1",2013,29,20,0.0769610411361284
"389","Nancy",22.7,1.01,"Ligue 1",2013,38,18,0.00995033085316809
"390","Bastia",25.6,1.02,"Ligue 1",2013,47,12,0.0198026272961797
"391","Reims",24.9,0.774,"Ligue 1",2013,43,14,-0.25618340539241
"392","Troyes",25.2,0.665,"Ligue 1",2013,37,19,-0.407968238326283
"393","Chelsea",23.8,12.15,"Premier League",2014,82,3,2.49732916978656
"394","Man United",24.9,15.05,"Premier League",2014,64,7,2.71137799119488
"395","Man City",25.7,17.74,"Premier League",2014,86,1,2.87582197688143
"396","Arsenal",23.8,8.99,"Premier League",2014,79,4,2.19611284848353
"397","Tottenham",23.4,8.22,"Premier League",2014,69,6,2.10657020906809
"398","Liverpool",23.8,8.79,"Premier League",2014,84,2,2.17361471169709
"399","Everton",25.9,7.25,"Premier League",2014,72,5,1.98100146886658
"400","Newcastle",24.4,5.72,"Premier League",2014,49,10,1.74396880539171
"401","Sunderland",24.9,4.09,"Premier League",2014,38,14,1.40854497005471
"402","Fulham",25.4,3.37,"Premier League",2014,32,19,1.21491274436427
"403","West Ham",25.3,3.05,"Premier League",2014,40,13,1.11514159061932
"404","Stoke",26.1,4.34,"Premier League",2014,50,9,1.46787434811231
"405","Swansea",25.5,3.83,"Premier League",2014,42,12,1.34286480319255
"406","Aston Villa",24,3.42,"Premier League",2014,38,15,1.22964055107451
"407","Southampton",23.9,3.31,"Premier League",2014,56,8,1.19694818938897
"408","Norwich",26.2,3.3,"Premier League",2014,33,18,1.19392246847243
"409","Cardiff",24.6,2.37,"Premier League",2014,30,20,0.86288995514704
"410","West Brom",26.6,3.07,"Premier League",2014,36,17,1.12167756159911
"411","Hull",26.4,2.12,"Premier League",2014,37,16,0.751416088683921
"412","Crystal Palace",26.2,1.57,"Premier League",2014,45,11,0.451075619360217
"413","Barcelona",24.8,19.39,"LaLiga",2014,87,2,2.96475746925456
"414","Real Madrid",24,17.84,"LaLiga",2014,87,3,2.88144312715186
"415","Ath Madrid",23.9,7.28,"LaLiga",2014,90,1,1.98513086220859
"416","Valencia",24.3,4.88,"LaLiga",2014,49,8,1.58514521986506
"417","Sevilla",23.8,3.42,"LaLiga",2014,63,5,1.22964055107451
"418","Sociedad",24.7,3.63,"LaLiga",2014,59,6,1.28923264827676
"419","Ath Bilbao",24.7,3.97,"LaLiga",2014,70,4,1.3787660946991
"420","Granada",24.6,1.77,"LaLiga",2014,41,15,0.570979546585738
"421","Betis",23.7,1.6,"LaLiga",2014,25,20,0.470003629245736
"422","Getafe",26,2.03,"LaLiga",2014,42,13,0.708035793053696
"423","Malaga",25,2.09,"LaLiga",2014,45,11,0.73716406597672
"424","Villarreal",23.5,2.24,"LaLiga",2014,59,7,0.806475865866949
"425","Celta",24.7,1.81,"LaLiga",2014,49,9,0.593326845277734
"426","Espanol",24.6,1.99,"LaLiga",2014,42,14,0.688134638736401
"427","Elche",25.7,1.52,"LaLiga",2014,40,17,0.418710334858185
"428","Levante",26.7,1.38,"LaLiga",2014,48,10,0.322083499169113
"429","Osasuna",25.9,1.43,"LaLiga",2014,39,18,0.357674444271816
"430","Vallecano",24.5,1.37,"LaLiga",2014,43,12,0.314810739840034
"431","Valladolid",26.7,1.57,"LaLiga",2014,36,19,0.451075619360217
"432","Almeria",25.7,1.09,"LaLiga",2014,40,16,0.0861776962410524
"433","Juventus",24.6,8.39,"Serie A",2014,102,1,2.12704052047911
"434","Milan",24.4,6.27,"Serie A",2014,57,8,1.83577635464483
"435","Inter",23.3,4.38,"Serie A",2014,60,5,1.47704872438835
"436","Napoli",25.8,6.76,"Serie A",2014,78,3,1.91102289005487
"437","Fiorentina",24.3,3.98,"Serie A",2014,65,4,1.38128181929635
"438","Roma",22.9,3.64,"Serie A",2014,85,2,1.29198368164865
"439","Lazio",24,2.99,"Serie A",2014,56,9,1.0952733874026
"440","Udinese",22.7,1.91,"Serie A",2014,44,14,0.647103242058538
"441","Genoa",23.4,1.58,"Serie A",2014,44,13,0.457424847038875
"442","Parma",24.3,1.97,"Serie A",2014,58,6,0.678033542749897
"443","Catania",23.3,1.65,"Serie A",2014,32,18,0.500775287912489
"444","Sassuolo",24,1.49,"Serie A",2014,34,17,0.398776119957368
"445","Sampdoria",23.5,1.43,"Serie A",2014,45,12,0.357674444271816
"446","Cagliari",23.9,2.24,"Serie A",2014,39,15,0.806475865866949
"447","Chievo",24,1.03,"Serie A",2014,36,16,0.0295588022415444
"448","Atalanta",24.1,1.17,"Serie A",2014,50,11,0.157003748809665
"449","Bologna",23.6,1.01,"Serie A",2014,29,19,0.00995033085316809
"450","Livorno",23.9,1.31,"Serie A",2014,25,20,0.27002713721306
"451","Torino",24.4,1.41,"Serie A",2014,57,7,0.343589704390077
"452","Verona",24.5,1.06,"Serie A",2014,54,10,0.0582689081239758
"453","Bayern Munich",24.1,16.13,"1. Bundesliga",2014,90,1,2.78068089213712
"454","Dortmund",23.7,9.2,"1. Bundesliga",2014,71,2,2.21920348405499
"455","Schalke 04",24.1,5.67,"1. Bundesliga",2014,64,3,1.73518911773966
"456","Leverkusen",23.5,4.3,"1. Bundesliga",2014,61,4,1.45861502269952
"457","Wolfsburg",24.2,3.85,"1. Bundesliga",2014,60,5,1.34807314829969
"458","Hamburg",24.1,3.38,"1. Bundesliga",2014,27,16,1.21787570949493
"459","Stuttgart",24.4,3.16,"1. Bundesliga",2014,32,15,1.15057202759882
"460","M'gladbach",24,3.38,"1. Bundesliga",2014,55,6,1.21787570949493
"461","Ein Frankfurt",23.7,2.57,"1. Bundesliga",2014,36,13,0.943905898907128
"462","Hannover",24.2,2.39,"1. Bundesliga",2014,42,10,0.871293365943419
"463","Hoffenheim",22.7,1.79,"1. Bundesliga",2014,44,9,0.582215619852664
"464","Werder Bremen",22.8,1.96,"1. Bundesliga",2014,39,12,0.672944473242426
"465","Freiburg",22.9,1.96,"1. Bundesliga",2014,36,14,0.672944473242426
"466","Nurnberg",23.4,1.53,"1. Bundesliga",2014,26,17,0.425267735404344
"467","Hertha",25,1.44,"1. Bundesliga",2014,41,11,0.364643113587909
"468","Mainz",25.7,1.46,"1. Bundesliga",2014,53,7,0.378436435720245
"469","Augsburg",24.1,1.28,"1. Bundesliga",2014,52,8,0.246860077931526
"470","Braunschweig",25.2,0.925,"1. Bundesliga",2014,25,18,-0.0779615414697118
"471","Paris SG",24,11.59,"Ligue 1",2014,89,1,2.45014265735166
"472","Monaco",24.3,5.32,"Ligue 1",2014,80,2,1.67147330335355
"473","Marseille",24.5,4.25,"Ligue 1",2014,60,6,1.44691898293633
"474","Lyon",23.2,3.12,"Ligue 1",2014,61,5,1.13783300182139
"475","St Etienne",24.3,3.11,"Ligue 1",2014,69,4,1.13462272619114
"476","Rennes",23.3,2.59,"Ligue 1",2014,46,12,0.951657875711446
"477","Lille",24.5,2.43,"Ligue 1",2014,71,3,0.887891257352457
"478","Bordeaux",24.9,1.81,"Ligue 1",2014,53,7,0.593326845277734
"479","Toulouse",22.8,1.56,"Ligue 1",2014,49,9,0.444685821261446
"480","Sochaux",23.3,1.36,"Ligue 1",2014,40,18,0.307484699747961
"481","Nice",22.2,1.46,"Ligue 1",2014,42,17,0.378436435720245
"482","Montpellier",24.1,1.83,"Ligue 1",2014,42,15,0.60431596685333
"483","Lorient",23.2,1.45,"Ligue 1",2014,49,10,0.371563556432483
"484","Valenciennes",24.9,1.26,"Ligue 1",2014,29,19,0.231111720963387
"485","Bastia",25.5,1.2,"Ligue 1",2014,46,13,0.182321556793955
"486","Evian Thonon Gaillard",24.9,1.03,"Ligue 1",2014,44,14,0.0295588022415444
"487","Reims",24.2,0.982,"Ligue 1",2014,48,11,-0.0181639706276712
"488","Ajaccio",24.5,0.839,"Ligue 1",2014,23,20,-0.175544572514931
"489","Nantes",24.3,0.872,"Ligue 1",2014,49,8,-0.136965855073157
"490","Guingamp",25.6,0.607,"Ligue 1",2014,42,16,-0.499226487922639
"491","Chelsea",23.9,13.84,"Premier League",2015,87,1,2.62756295018952
"492","Man United",23.9,12.15,"Premier League",2015,70,4,2.49732916978656
"493","Man City",25.4,13.28,"Premier League",2015,79,2,2.58625914404829
"494","Arsenal",23,9.63,"Premier League",2015,75,3,2.26488322581003
"495","Tottenham",23.7,7.1,"Premier League",2015,64,5,1.96009478404727
"496","Liverpool",23.4,8.14,"Premier League",2015,62,6,2.09679018001445
"497","Everton",24.3,4.44,"Premier League",2015,47,12,1.49065437644413
"498","Southampton",23.5,4.06,"Premier League",2015,60,7,1.40118297361364
"499","Newcastle",22.9,3.33,"Premier League",2015,39,15,1.20297230399235
"500","Stoke",26.4,4.3,"Premier League",2015,54,9,1.45861502269952
"501","Aston Villa",24.3,3.34,"Premier League",2015,38,16,1.20597080698861
"502","West Ham",24.8,3.42,"Premier League",2015,47,11,1.22964055107451
"503","Hull",26.1,3.49,"Premier League",2015,35,18,1.24990173621434
"504","Sunderland",24.8,3.39,"Premier League",2015,38,17,1.22082992139236
"505","QPR",25.1,2.81,"Premier League",2015,30,20,1.03318448334565
"506","Swansea",24.3,2.99,"Premier League",2015,56,8,1.0952733874026
"507","West Brom",25.5,2.96,"Premier League",2015,44,13,1.08518926833597
"508","Crystal Palace",26,2.13,"Premier League",2015,48,10,0.756121979721334
"509","Leicester",25.9,1.51,"Premier League",2015,41,14,0.412109650826833
"510","Burnley",25.5,1.23,"Premier League",2015,33,19,0.207014169384326
"511","Real Madrid",23.3,15.8,"LaLiga",2015,92,2,2.76000994003292
"512","Barcelona",24.4,19.3,"LaLiga",2015,94,1,2.96010509591084
"513","Ath Madrid",24.7,9.03,"LaLiga",2015,78,3,2.20055236742889
"514","Valencia",23.1,5.28,"LaLiga",2015,77,4,1.66392609771817
"515","Sevilla",24.7,3.61,"LaLiga",2015,76,5,1.28370777234479
"516","Ath Bilbao",25.2,4.09,"LaLiga",2015,55,7,1.40854497005471
"517","Sociedad",24.6,3.58,"LaLiga",2015,46,12,1.27536280041261
"518","Villarreal",23.1,2.39,"LaLiga",2015,60,6,0.871293365943419
"519","Malaga",25.6,2.08,"LaLiga",2015,50,9,0.732367893713227
"520","Granada",24.4,1.56,"LaLiga",2015,35,16,0.444685821261446
"521","Espanol",24.6,1.78,"LaLiga",2015,49,11,0.576613364303994
"522","Vallecano",25.7,1.81,"LaLiga",2015,49,10,0.593326845277734
"523","La Coruna",25.5,1.47,"LaLiga",2015,35,18,0.385262400790645
"524","Getafe",25.1,1.42,"LaLiga",2015,37,15,0.350656871613169
"525","Levante",26.8,1.52,"LaLiga",2015,37,14,0.418710334858185
"526","Cordoba",24.8,1.24,"LaLiga",2015,20,20,0.215111379616945
"527","Celta",23.3,1.41,"LaLiga",2015,51,8,0.343589704390077
"528","Elche",24.7,1.08,"LaLiga",2015,41,13,0.0769610411361284
"529","Almeria",24.1,0.81,"LaLiga",2015,32,19,-0.210721031315653
"530","Eibar",27.3,0.844,"LaLiga",2015,35,17,-0.16960278438618
"531","Juventus",26,10.22,"Serie A",2015,87,1,2.32434658477556
"532","Inter",23.5,7.08,"Serie A",2015,55,8,1.95727390770563
"533","Milan",24.3,6.49,"Serie A",2015,52,10,1.870262530716
"534","Napoli",25.7,8.32,"Serie A",2015,63,5,2.11866225483312
"535","Roma",24.9,6.06,"Serie A",2015,70,2,1.80170980008122
"536","Fiorentina",24.9,4.97,"Serie A",2015,64,4,1.60341984010854
"537","Lazio",25.3,4.13,"Serie A",2015,69,3,1.41827740697294
"538","Sampdoria",24.6,2.81,"Serie A",2015,56,7,1.03318448334565
"539","Genoa",24.1,2.36,"Serie A",2015,59,6,0.858661619037519
"540","Udinese",22.9,2.01,"Serie A",2015,41,16,0.698134722070984
"541","Parma",24.2,1.72,"Serie A",2015,26,19,0.542324290825362
"542","Sassuolo",25.3,2.18,"Serie A",2015,49,12,0.779324876800998
"543","Torino",25,1.88,"Serie A",2015,54,9,0.631271776841858
"544","Atalanta",25.9,1.89,"Serie A",2015,37,17,0.636576829071551
"545","Chievo",26.6,1.7,"Serie A",2015,43,14,0.53062825106217
"546","Cagliari",23.6,1.81,"Serie A",2015,34,18,0.593326845277734
"547","Palermo",23.9,1.35,"Serie A",2015,49,11,0.300104592450338
"548","Verona",25.4,1.2,"Serie A",2015,46,13,0.182321556793955
"549","Empoli",22.8,0.891,"Serie A",2015,42,15,-0.115410851511328
"550","Cesena",24.9,0.962,"Serie A",2015,24,20,-0.0387408283164306
"551","Bayern Munich",24.6,17.1,"1. Bundesliga",2015,79,1,2.83907846350861
"552","Dortmund",23.7,8.91,"1. Bundesliga",2015,46,7,2.18717424148272
"553","Schalke 04",23,5.93,"1. Bundesliga",2015,48,6,1.78002421300963
"554","Wolfsburg",24.9,5.87,"1. Bundesliga",2015,69,2,1.76985463384001
"555","Leverkusen",23.9,6.41,"1. Bundesliga",2015,61,4,1.85785927093258
"556","Hamburg",24.2,3.03,"1. Bundesliga",2015,35,16,1.10856261952128
"557","M'gladbach",24.9,3.98,"1. Bundesliga",2015,66,3,1.38128181929635
"558","Hoffenheim",23.4,3.33,"1. Bundesliga",2015,44,8,1.20297230399235
"559","Stuttgart",23.7,3.26,"1. Bundesliga",2015,36,14,1.18172719537862
"560","Hannover",24.6,2.23,"1. Bundesliga",2015,37,13,0.802001585472027
"561","Mainz",23.9,2.14,"1. Bundesliga",2015,40,12,0.76080582903376
"562","Hertha",25.3,2.55,"1. Bundesliga",2015,35,15,0.936093359170335
"563","Ein Frankfurt",24.1,2.47,"1. Bundesliga",2015,43,9,0.904218150639886
"564","Werder Bremen",22.9,1.63,"1. Bundesliga",2015,43,10,0.488580014818671
"565","Freiburg",24.1,1.9,"1. Bundesliga",2015,34,17,0.641853886172395
"566","FC Koln",24.4,1.6,"1. Bundesliga",2015,40,11,0.470003629245736
"567","Augsburg",24.6,1.21,"1. Bundesliga",2015,49,5,0.19062035960865
"568","Paderborn",25.2,0.802,"1. Bundesliga",2015,31,18,-0.220646671115623
"569","Paris SG",24.3,12.06,"Ligue 1",2015,83,1,2.48989419129904
"570","Monaco",23.1,5.73,"Ligue 1",2015,71,3,1.74571553072665
"571","Marseille",22.3,4.25,"Ligue 1",2015,69,4,1.44691898293633
"572","Lyon",23.4,3,"Ligue 1",2015,75,2,1.09861228866811
"573","St Etienne",24.4,2.74,"Ligue 1",2015,69,5,1.00795792039998
"574","Lille",24.3,2.44,"Ligue 1",2015,56,7,0.89199803930511
"575","Bordeaux",22.8,1.62,"Ligue 1",2015,63,6,0.482426149244293
"576","Rennes",24,2.05,"Ligue 1",2015,50,9,0.717839793150317
"577","Lorient",23.7,1.34,"Ligue 1",2015,43,16,0.29266961396282
"578","Toulouse",22.8,1.43,"Ligue 1",2015,42,17,0.357674444271816
"579","Nice",22.4,1.32,"Ligue 1",2015,48,11,0.27763173659828
"580","Reims",24.8,1.32,"Ligue 1",2015,44,15,0.27763173659828
"581","Montpellier",24.2,1.15,"Ligue 1",2015,56,8,0.139761942375159
"582","Evian Thonon Gaillard",26,1.16,"Ligue 1",2015,37,18,0.148420005118273
"583","Bastia",23.6,0.774,"Ligue 1",2015,47,12,-0.25618340539241
"584","Nantes",24,1.04,"Ligue 1",2015,45,14,0.0392207131532813
"585","Guingamp",25.8,0.938,"Ligue 1",2015,49,10,-0.0640053299759124
"586","Metz",24.5,0.675,"Ligue 1",2015,30,19,-0.393042588109607
"587","Caen",26.1,0.711,"Ligue 1",2015,46,13,-0.341082849178896
"588","Lens",23.4,0.474,"Ligue 1",2015,29,20,-0.746547957287061
"589","Chelsea",23.7,14.5,"Premier League",2016,50,10,2.67414864942653
"590","Man City",24.4,11.91,"Premier League",2016,66,5,2.47737838336721
"591","Arsenal",23.7,9.97,"Premier League",2016,71,2,2.29958058397375
"592","Man United",22.5,8.5,"Premier League",2016,66,4,2.14006616349627
"593","Liverpool",22.5,7.39,"Premier League",2016,60,8,2.00012773496011
"594","Tottenham",22.7,8.19,"Premier League",2016,70,3,2.10291389786498
"595","Everton",24.7,5.23,"Premier League",2016,47,11,1.65441127807683
"596","Newcastle",23.6,4.78,"Premier League",2016,37,18,1.56444054650336
"597","Southampton",24.1,5.36,"Premier League",2016,63,6,1.67896397508271
"598","West Ham",23.2,3.7,"Premier League",2016,62,7,1.30833281965018
"599","Swansea",24.8,3.84,"Premier League",2016,47,12,1.34547236659964
"600","Sunderland",25.5,3.05,"Premier League",2016,39,17,1.11514159061932
"601","Stoke",26.3,4.1,"Premier League",2016,51,9,1.41098697371026
"602","Crystal Palace",25.6,3.18,"Premier League",2016,42,16,1.15688119679209
"603","West Brom",25.4,3.34,"Premier League",2016,43,14,1.20597080698861
"604","Aston Villa",23.5,2.55,"Premier League",2016,17,20,0.936093359170335
"605","Watford",26.4,2.82,"Premier League",2016,45,13,1.03673688495002
"606","Norwich",25.6,2.53,"Premier League",2016,34,19,0.928219302739429
"607","Leicester",25.9,2.61,"Premier League",2016,81,1,0.959350221334602
"608","Bournemouth",24.1,1.39,"Premier League",2016,42,15,0.3293037471426
"609","Real Madrid",23.8,23.35,"LaLiga",2016,90,2,3.15059698411491
"610","Barcelona",24.9,19.33,"LaLiga",2016,91,1,2.96165829322024
"611","Ath Madrid",24.4,11.2,"LaLiga",2016,88,3,2.41591377830105
"612","Valencia",22.7,6.7,"LaLiga",2016,44,12,1.90210752639692
"613","Sevilla",24.8,4.91,"LaLiga",2016,52,7,1.59127394180643
"614","Ath Bilbao",26,4.39,"LaLiga",2016,62,5,1.47932922708708
"615","Sociedad",24.6,3.82,"LaLiga",2016,48,9,1.34025042261848
"616","Villarreal",24.4,4.12,"LaLiga",2016,64,4,1.41585316336144
"617","Malaga",26,2.37,"LaLiga",2016,48,8,0.86288995514704
"618","Granada",24.9,2.22,"LaLiga",2016,39,17,0.797507195884188
"619","Betis",25.9,2.2,"LaLiga",2016,45,10,0.78845736036427
"620","Levante",26.3,2.2,"LaLiga",2016,32,20,0.78845736036427
"621","Celta",23.6,2.28,"LaLiga",2016,60,6,0.824175442966349
"622","Espanol",24.1,1.87,"LaLiga",2016,43,13,0.625938430866495
"623","Getafe",24.7,1.78,"LaLiga",2016,36,19,0.576613364303994
"624","Vallecano",27,1.54,"LaLiga",2016,38,18,0.431782416425538
"625","La Coruna",27.4,1.71,"LaLiga",2016,42,15,0.536493370514568
"626","Eibar",24.8,1.31,"LaLiga",2016,43,14,0.27002713721306
"627","Sp Gijon",23.8,1.05,"LaLiga",2016,39,16,0.048790164169432
"628","Las Palmas",26.2,0.886,"LaLiga",2016,44,11,-0.121038328377056
"629","Juventus",24.9,10.95,"Serie A",2016,91,1,2.39333945626251
"630","Roma",23.7,6.65,"Serie A",2016,80,3,1.89461685466776
"631","Inter",24.2,7.09,"Serie A",2016,67,4,1.95868534054404
"632","Napoli",24.9,7.91,"Serie A",2016,82,2,2.06812778177956
"633","Milan",25.5,6.3,"Serie A",2016,57,7,1.84054963339749
"634","Lazio",24.7,4.55,"Serie A",2016,54,8,1.51512723296286
"635","Fiorentina",25.1,4.43,"Serie A",2016,64,5,1.48839958405704
"636","Sampdoria",25,3.17,"Serie A",2016,40,15,1.15373158788919
"637","Genoa",23.3,2.66,"Serie A",2016,46,11,0.978326122793608
"638","Udinese",25.3,2.29,"Serie A",2016,39,17,0.828551817566148
"639","Torino",24.7,2.11,"Serie A",2016,45,13,0.746687947487975
"640","Bologna",24.8,1.95,"Serie A",2016,42,14,0.667829372575655
"641","Sassuolo",23.7,1.99,"Serie A",2016,61,6,0.688134638736401
"642","Atalanta",25.8,1.76,"Serie A",2016,45,12,0.56531380905006
"643","Carpi",24.9,1.6,"Serie A",2016,38,18,0.470003629245736
"644","Palermo",23.5,1.56,"Serie A",2016,39,16,0.444685821261446
"645","Verona",24.9,1.4,"Serie A",2016,28,20,0.336472236621213
"646","Chievo",26.6,1.16,"Serie A",2016,50,9,0.148420005118273
"647","Frosinone",25.2,1.23,"Serie A",2016,31,19,0.207014169384326
"648","Empoli",23.1,0.994,"Serie A",2016,46,10,-0.00601807232556302
"649","Bayern Munich",24.9,17.9,"1. Bundesliga",2016,88,1,2.88480071284671
"650","Dortmund",23.9,10.39,"1. Bundesliga",2016,78,2,2.34084380511114
"651","Wolfsburg",24.5,7.58,"1. Bundesliga",2016,45,8,2.02551319965428
"652","Schalke 04",23.9,6.54,"1. Bundesliga",2016,52,5,1.87793716546911
"653","Leverkusen",23.2,6.08,"1. Bundesliga",2016,60,3,1.80500469597808
"654","M'gladbach",24.4,4.81,"1. Bundesliga",2016,55,4,1.57069708411767
"655","Hoffenheim",23.8,3.59,"1. Bundesliga",2016,37,15,1.27815220250019
"656","Ein Frankfurt",23.9,2.5,"1. Bundesliga",2016,36,16,0.916290731874155
"657","Stuttgart",23.8,2.43,"1. Bundesliga",2016,33,17,0.887891257352457
"658","Hamburg",24.8,2.12,"1. Bundesliga",2016,41,10,0.751416088683921
"659","Hannover",23.5,1.89,"1. Bundesliga",2016,25,18,0.636576829071551
"660","Hertha",24.3,2.14,"1. Bundesliga",2016,50,7,0.76080582903376
"661","Mainz",24.3,1.73,"1. Bundesliga",2016,50,6,0.548121408509688
"662","Augsburg",24.9,1.6,"1. Bundesliga",2016,38,12,0.470003629245736
"663","Werder Bremen",23.6,1.53,"1. Bundesliga",2016,38,14,0.425267735404344
"664","FC Koln",24,2.08,"1. Bundesliga",2016,43,9,0.732367893713227
"665","Ingolstadt",24.2,0.841,"1. Bundesliga",2016,40,11,-0.173163619009189
"666","Darmstadt",26.3,0.66,"1. Bundesliga",2016,38,13,-0.415515443961666
"667","Paris SG",23.9,12.38,"Ligue 1",2016,96,1,2.51608226725645
"668","Lyon",24,5.2,"Ligue 1",2016,65,2,1.64865862558738
"669","Monaco",22.3,3.92,"Ligue 1",2016,65,3,1.36609165380237
"670","Marseille",22.9,3.79,"Ligue 1",2016,48,13,1.33236601909433
"671","St Etienne",24.1,2.39,"Ligue 1",2016,58,6,0.871293365943419
"672","Bordeaux",22.5,1.92,"Ligue 1",2016,50,10,0.65232518603969
"673","Rennes",23.7,2.08,"Ligue 1",2016,52,8,0.732367893713227
"674","Lille",24.6,1.93,"Ligue 1",2016,60,5,0.657520002916794
"675","Nice",22.4,1.42,"Ligue 1",2016,63,4,0.350656871613169
"676","Lorient",23.7,1.41,"Ligue 1",2016,46,15,0.343589704390077
"677","Montpellier",24.9,1.46,"Ligue 1",2016,49,12,0.378436435720245
"678","Reims",24.8,1.3,"Ligue 1",2016,39,18,0.262364264467491
"679","Toulouse",23.1,1.28,"Ligue 1",2016,40,17,0.246860077931526
"680","Nantes",23.8,1.16,"Ligue 1",2016,48,14,0.148420005118273
"681","Guingamp",25.9,1.01,"Ligue 1",2016,44,16,0.00995033085316809
"682","Caen",24.6,0.942,"Ligue 1",2016,54,7,-0.059750004405774
"683","Troyes",25.3,0.728,"Ligue 1",2016,18,20,-0.317454230785451
"684","Bastia",24.8,0.673,"Ligue 1",2016,50,9,-0.396009949337409
"685","Angers",26.3,0.606,"Ligue 1",2016,50,11,-0.500875292912823
"686","Ajaccio GFCO",24.8,0.463,"Ligue 1",2016,37,19,-0.770028224895903
"687","Man City",24.7,14.12,"Premier League",2017,78,3,2.6475922320651
"688","Chelsea",23.8,12.31,"Premier League",2017,93,1,2.51041194019636
"689","Man United",23.5,12.7,"Premier League",2017,69,6,2.54160199346455
"690","Arsenal",23.7,12.45,"Premier League",2017,75,5,2.52172062291072
"691","Liverpool",23.4,10.37,"Premier League",2017,76,4,2.33891702224144
"692","Tottenham",22.7,10.14,"Premier League",2017,86,2,2.31648799816304
"693","Everton",24.9,7.29,"Premier League",2017,61,7,1.98650354602057
"694","West Ham",23.7,5.47,"Premier League",2017,45,11,1.69927861643389
"695","Crystal Palace",25.1,4.79,"Premier League",2017,41,14,1.56653041142282
"696","Southampton",24.4,5.95,"Premier League",2017,46,8,1.78339121955754
"697","Stoke",26.1,5.68,"Premier League",2017,44,13,1.73695123273306
"698","Watford",25.8,4.12,"Premier League",2017,40,17,1.41585316336144
"699","Leicester",25.6,5.65,"Premier League",2017,44,12,1.73165554515835
"700","Swansea",25.9,3.71,"Premier League",2017,41,15,1.31103187661934
"701","Hull",25,3.17,"Premier League",2017,34,18,1.15373158788919
"702","Middlesbrough",26.3,3.48,"Premier League",2017,28,19,1.24703229378638
"703","West Brom",26.3,3.84,"Premier League",2017,45,10,1.34547236659964
"704","Sunderland",24.3,2.68,"Premier League",2017,24,20,0.985816794522765
"705","Bournemouth",23.4,2.52,"Premier League",2017,46,9,0.924258901523332
"706","Burnley",25.7,2.27,"Premier League",2017,40,16,0.819779831493311
"707","Barcelona",24.7,21.28,"LaLiga",2017,90,2,3.05776766447344
"708","Real Madrid",24.2,22.52,"LaLiga",2017,93,1,3.11440380327149
"709","Ath Madrid",23.3,9.72,"LaLiga",2017,78,3,2.27418561847235
"710","Valencia",24,7.16,"LaLiga",2017,46,12,1.96850998097255
"711","Sevilla",24.4,5.91,"LaLiga",2017,72,4,1.77664583141801
"712","Villarreal",24.3,4.07,"LaLiga",2017,67,5,1.4036429994545
"713","Ath Bilbao",25.1,4.33,"LaLiga",2017,63,7,1.4655675420144
"714","Sociedad",24.5,3.25,"LaLiga",2017,64,6,1.17865499634165
